ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
0,,,,,,,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",I like most parts of my personality.,"When I look at the story of my life, I am pleased with how things have turned out so far","Some people wander aimlessly through life, but I am not one of them",The demands of everyday life often get me down.,In many ways I feel disappointed about my achievements in life.,Maintaining close relationships has been difficult and frustrating for me.,I live life one day at a time and don't really think about the future.,"In general, I feel I am in charge of the situation in which I live.",I am good at managing the responsibilities of daily life.,I sometimes feel as if I've done all there is to do in life.,"For me, life has been a continuous process of learning, changing, and growth.",I think it is important to have new experiences that challenge how I think about myself and the world.,"People would describe me as a giving person, willing to share my time with others.",I gave up trying to make big improvements or changes in my life a long time ago.,I tend to be influenced by people with strong opinions.,I have not experienced many warm and trusting relationships with others.,"I have confidence in my own opinions, even if they are different from the way most

other people think.”","I judge myself by what I think is important, not by the values of what others think is

important.”",I've been feeling optimistic about the future,I've been feeling useful,I've been feeling relaxed,I've been feeling interested in other people,I've had energy to spare,I've been dealing with problems well,I've been thinking clearly,I've been feeling good about myself,I've been feeling close to other people,I've been feeling confident,I've been able to make up my own mind about things,I've been feeling loved,I've been interested in new things,I've been feeling cheerful,"There is a special person who

is around when I am in need.","There is a special person with

whom I can share joys and sorrows.",My family really tries to help me.,"I get the emotional help & support

I need from my family.","I have a special person who is

a real source of comfort to me.",My friends really try to help me.,"I can count on my friends when

things go wrong.","I can talk about my problems with

my family.","I have friends with whom I can

share my joys and sorrows.","There is a special person in my

life who cares about my feelings.","My family is willing to help me

make decisions.","I can talk about my problems with

my friends.",HRQOL,Psych well-being,WEMWBS,MSPSS
1,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,05-Oct,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Often,Rarely,Often,Often,Often,Often,Often,Often,All of the time,Some of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Neutral,Very strongly agree,Strongly agree,2,88,54,73
2,34-48,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Good,05-Oct,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little agree,A little agree,Neither agree nor disagree,Somewhat agree,Strongly agree,A little disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Strongly disagree,A little agree,Strongly agree,All of the time,All of the time,Some of the time,Often,Rarely,Some of the time,Often,Often,Often,Often,Often,All of the time,All of the time,Rarely,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly disagree,Strongly disagree,Mildly agree,Neutral,Very strongly agree,Very strongly agree,Neutral,3,95,54,67
3,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Good,0-5,Somewhat agree,A little agree,Neither agree nor disagree,A little agree,A little disagree,A little disagree,A little disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,A little agree,Somewhat disagree,A little agree,A little agree,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Mildly disagree,Mildly disagree,Strongly agree,Strongly agree,Neutral,3,90,43,62
4,18-33,Female,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Very Good,05-Oct,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,A little disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,A little agree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Often,Often,Often,Some of the time,Often,Some of the time,Often,All of the time,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Neutral,Mildly agree,Very strongly agree,Strongly agree,Mildly agree,2,110,52,71
5,34-48,Male,,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,None,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,A little disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,All of the time,All of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,123,66,84
6,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Strongly disagree,A little agree,A little agree,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Often,Often,Often,Often,Some of the time,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,Very strongly agree,Neutral,Strongly agree,Strongly agree,Mildly agree,Very strongly agree,2,110,52,71
7,34-48,Female,Female,Other British,Undergraduate Degree,Good,0-5,Somewhat agree,A little disagree,Strongly agree,A little agree,Strongly disagree,A little agree,Somewhat disagree,A little agree,Somewhat agree,Somewhat disagree,Somewhat agree,A little agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,A little disagree,Strongly disagree,Neither agree nor disagree,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Often,Some of the time,Often,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,90,42,84
8,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,Somewhat disagree,A little disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,A little agree,Somewhat agree,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Some of the time,Often,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,2,103,47,68
9,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Good,05-Oct,A little agree,Somewhat agree,A little disagree,Strongly agree,A little agree,Strongly agree,Somewhat disagree,A little agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,A little disagree,A little disagree,A little agree,Somewhat agree,A little disagree,Some of the time,Rarely,Rarely,None of the time,None of the time,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Often,Rarely,Strongly disagree,Strongly disagree,Neutral,Mildly disagree,Mildly agree,Neutral,Mildly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,3,82,34,43
10,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Good,05-Oct,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,A little disagree,A little agree,Strongly disagree,Strongly agree,Strongly agree,A little agree,A little disagree,Somewhat agree,A little disagree,Strongly agree,Somewhat agree,Often,Often,Some of the time,Rarely,None of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Rarely,Mildly agree,Mildly agree,Mildly disagree,Very strongly disagree,Mildly disagree,Strongly disagree,Strongly disagree,Very strongly disagree,Mildly disagree,Mildly agree,Strongly disagree,Mildly agree,3,93,40,37
11,18-33,Female,Female,Other British,Undergraduate Degree,Excellent,0-5,Somewhat agree,A little disagree,A little disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,A little agree,Somewhat agree,Somewhat disagree,A little agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,A little agree,Some of the time,Some of the time,Rarely,Rarely,Rarely,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,Rarely,Rarely,Strongly agree,Strongly agree,Mildly disagree,Strongly disagree,Strongly agree,Neutral,Mildly agree,Strongly disagree,Neutral,Mildly agree,Very strongly disagree,Neutral,1,79,40,48
12,34-48,Female,,"African, African Scottish or African British",PhD or other professional qualification,Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,A little agree,Somewhat disagree,A little disagree,Strongly disagree,Somewhat agree,Strongly agree,A little disagree,Strongly disagree,A little disagree,A little disagree,Somewhat agree,Somewhat agree,Some of the time,Rarely,Rarely,Rarely,None of the time,Rarely,Some of the time,Rarely,Rarely,Rarely,Some of the time,Some of the time,Rarely,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Mildly agree,3,85,31,70
13,18-33,Male,,Other white ethnic group,Undergraduate Degree,Good,05-Oct,Strongly agree,Strongly agree,A little disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,A little disagree,Somewhat agree,A little agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Some of the time,Some of the time,Often,Often,Often,Some of the time,Some of the time,Often,Rarely,Often,Often,Often,Often,Often,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Neutral,Strongly agree,Very strongly agree,3,89,50,76
14,18-33,Female,,Other white ethnic group,Undergraduate Degree,Very Good,05-Oct,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,A little agree,A little disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little agree,Strongly disagree,Strongly agree,A little disagree,Some of the time,Often,None of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,All of the time,None of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,109,38,83
15,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,A little agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,A little agree,A little agree,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,A little agree,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Mildly agree,Neutral,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,4,90,44,65
16,34-48,Female,,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Very Good,Oct-15,A little disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Rarely,Rarely,None of the time,Some of the time,Rarely,None of the time,Rarely,Rarely,Rarely,Rarely,Some of the time,Often,Often,Rarely,Mildly agree,Neutral,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,2,79,32,72
17,18-33,Female,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Very Good,,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,A little agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,A little disagree,Somewhat agree,Strongly agree,Some of the time,Often,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Often,Often,Often,Some of the time,Mildly disagree,Mildly disagree,Strongly agree,Strongly agree,Strongly disagree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,Strongly agree,2,109,47,57
19,18-33,Female,Female,Other British,Undergraduate Degree,Fair,05-Oct,Somewhat agree,Strongly agree,A little agree,A little agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,A little agree,Somewhat disagree,A little agree,Strongly agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,A little disagree,A little agree,Often,Some of the time,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,4,95,48,74
20,34-48,Female,Non-binary / third gender,Mixed or Multiple Ethnic Groups,PhD or other professional qualification,Good,25-30,Strongly disagree,Somewhat disagree,A little agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,A little disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,A little disagree,Somewhat agree,None of the time,Rarely,Rarely,Rarely,Rarely,Some of the time,Some of the time,Rarely,Rarely,Rarely,Some of the time,Some of the time,Rarely,Rarely,Mildly agree,Strongly agree,Neutral,Neutral,Strongly agree,Mildly agree,Mildly agree,Neutral,Mildly agree,Strongly agree,Neutral,Mildly agree,3,68,31,59
21,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,05-Oct,Somewhat agree,Somewhat disagree,A little disagree,Somewhat agree,Neither agree nor disagree,A little agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Rarely,None of the time,Some of the time,Rarely,Rarely,Some of the time,None of the time,Rarely,Often,All of the time,Some of the time,None of the time,Very strongly agree,Very strongly agree,Strongly disagree,Strongly disagree,Very strongly agree,Very strongly disagree,Very strongly disagree,Very strongly disagree,Very strongly disagree,Strongly agree,Very strongly disagree,Very strongly disagree,4,58,35,37
22,,,,,,Fair,0-5,Somewhat agree,A little agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,A little disagree,A little agree,A little agree,Somewhat disagree,Strongly agree,A little agree,Somewhat agree,A little disagree,A little agree,Strongly disagree,Strongly agree,Somewhat agree,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Often,Often,Some of the time,Often,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Very strongly agree,Strongly agree,Neutral,4,98,49,67
23,18-33,Female,,Other British,Undergraduate Degree,Good,None,Somewhat agree,A little agree,Somewhat agree,A little agree,A little agree,Somewhat disagree,Somewhat disagree,A little agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Rarely,Often,Rarely,Often,Some of the time,None of the time,Often,None of the time,Often,Some of the time,Often,Some of the time,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Very strongly agree,Neutral,Strongly agree,Mildly agree,Strongly agree,Strongly agree,3,100,42,69
24,18-33,Female,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,A little disagree,A little agree,Some of the time,Often,Often,Often,Often,Often,Often,Often,Often,Some of the time,Often,All of the time,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,105,55,84
25,34-48,Female,,Other British,"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,A little agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Strongly disagree,A little agree,A little agree,Often,Often,Some of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,2,104,45,69
