ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q1,Q2,Q3,SC0,SC1,SC2
0,Please use the drop down to choose your age bracket (optional),Sex assigned at birth (optional),Current sex if different than above (optional),Please use the drop down to choose your ethnicity (optional),Please enter your highest level of education (optional),I have a strong need to be perfect.,It is important to me to be perfect in everything I attempt.,Striving to be as perfect as possible makes me feel worthwhile.,My opinion of myself is tied to being perfect. Self-critical perfectionism.,The idea of making a mistake frightens me.,"When I notice that I have made a mistake, I feel ashamed.",I have doubts about everything I do.,I judge myself harshly when I don’t do something perfectly.,"I feel disappointed with myself, when I don’t do something perfectly.",People are disappointed in me whenever I don’t do something perfectly. Narcissistic perfectionism.,I expect those close to me to be perfect.,I am highly critical of other people’s imperfections.,"I feel dissatisfied with other people, even when I know they are trying their best.",It bothers me when people don’t notice how perfect I am.,I deserve to always have things go my way.,I know that I am perfect.,I enjoy being unique and different from others in many respects.,"I can talk openly with a person who I meet for the first time, even when this person is much older than I am.","Even when I strongly disagree with group members, I avoid an argument.",I have respect for the authority figures with whom I interact.,"I do my own thing, regardless of what others think.",I respect people who are modest about themselves.,I feel it is important for me to act as an independent person.,I will sacrifice my self interest for the benefit of the group I am in.,"I'd rather say ""No"" directly, than risk being misunderstood.",Having a lively imagination is important to me.,I should take into consideration my parents' advice when making education/career plans.,I feel my fate is intertwined with the fate of those around me.,I prefer to be direct and forthright when dealing with people I've just met.,I feel good when I cooperate with others.,I am comfortable with being singled out for praise or rewards.,"If my brother or sister fails, I feel responsible.",I often have the feeling that my relationships with others are more important than my own accomplishments.,Speaking up during a class (or a meeting) is not a problem for me.,I would offer my seat in a bus to my professor (or my boss).,I act the same way no matter who I am with.,My happiness depends on the happiness of those around me.,I value being in good health above everything.,"I will stay in a group if they need me, even when I am not happy with the group.","I try to do what is best for me, regardless of how that might affect others.",Being able to take care of myself is a primary concern for me.,It is important to me to respect decisions made by the group.,"My personal identity, independent of others, is very important to me.",It is important for me to maintain harmony within my group.,I act the same way at home that I do at school (or work).,"I usually go along with what others want to do, even when I would rather do something different.",Once in a while I can't control the urge to strike another person.,"Given enough provocation, I may hit another person.","If somebody hits me, I hit back.",I get into fights a little more than the average person.,"If I have to resort to violence to protect my rights, I will.",There are people who pushed me so far that we came to blows.,I can think if no good reason for ever hitting a person.,I have threatened people I know.,I have become so mad that I have broken things.,I tell my friends openly when I disagree with them.,I often find myself disagreeing with people.,"When people annoy me, I may tell them what I think of them.",I can't help getting into arguments when people disagree with me.,My friends say that I'm somewhat argumentative.,I flare up quickly but get over it quickly.,"When frustrated, I let my irritation show.",I sometimes feel like a powder keg ready to explode.,I am an even-tempered person.,Some of my friends think I'm a hothead.,Sometimes I fly off the handle for no good reason.,I have trouble controlling my temper.,I am sometimes eaten up by jealousy.,At times I feel I have gotten a raw deal out of life.,Other people always seem to get the breaks.,I wonder why sometimes I feel so bitter about things.,"I know that ""friends"" talk about me behind my back.",I am suspicious of overly friendly strangers.,I sometimes feel that people are laughing at me behind my back.,"When people are especially nice, I wonder what they want.","You have a certain amount of intelligence, and you can’t really do much to change it.",Your intelligence is something about you that you can’t change very much.,"You can learn new things, but you can’t really change your basic intelligence.",Perfectionism,Self-Construal,AGQ
1,18-33,Female,,Other white ethnic group,Undergraduate Degree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Don't Agree or Disagree,Agree Somewhat,Agree,Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Disagree,Agree,Agree Somewhat,Strongly Disagree,Agree,Strongly Disagree,Don't Agree or Disagree,Disagree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree,Agree Somewhat,Agree,Agree,Somewhat Disagree,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Mostly agree,Mostly agree,Strongly agree,45,141,59
2,18-33,Female,,Other British,"Postgraduate Qualification, Masters",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly Agree,Agree,Somewhat Disagree,Agree,Agree Somewhat,Agree,Agree,Somewhat Disagree,Agree Somewhat,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree Somewhat,Agree,Agree,Agree,Agree Somewhat,Strongly Agree,Disagree,Agree Somewhat,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Disagree,Disagree,Mostly disagree,45,162,55
3,18-33,Female,,Other British,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Disagree,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Agree,Agree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree,Somewhat Disagree,Agree,Agree Somewhat,Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Disagree,Agree,Agree Somewhat,Agree Somewhat,Agree,Agree Somewhat,Agree Somewhat,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Mostly agree,Mostly agree,Mostly agree,36,136,62
5,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Don't Agree or Disagree,Agree Somewhat,Agree,Strongly Agree,Disagree,Strongly Agree,Don't Agree or Disagree,Agree,Agree,Don't Agree or Disagree,Agree,Agree,Disagree,Agree,Don't Agree or Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Don't Agree or Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Extremely uncharacteristic of me,Somewhat characteristic of me,Characteristic of me,Characteristic of me,Characteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Agree,Mostly disagree,Mostly agree,51,140,99
6,,Female,Female,Other British,Undergraduate Degree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree Somewhat,Agree,Agree,Don't Agree or Disagree,Somewhat Disagree,Agree,Agree,Agree Somewhat,Strongly Disagree,Agree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Don't Agree or Disagree,Somewhat Disagree,Strongly Agree,Agree,Agree,Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Strongly Agree,Agree,Agree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Disagree,Mostly disagree,Disagree,25,145,66
7,18-33,Female,Female,Irish,Undergraduate Degree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Don't Agree or Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Don't Agree or Disagree,Agree,Agree,Agree Somewhat,Don't Agree or Disagree,Agree,Agree Somewhat,Don't Agree or Disagree,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Somewhat Disagree,Somewhat Disagree,Agree Somewhat,Somewhat Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Don't Agree or Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat uncharacteristic of me,Mostly disagree,Mostly disagree,Mostly agree,45,133,73
8,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree Somewhat,Disagree,Somewhat Disagree,Agree,Agree Somewhat,Strongly Agree,Agree,Agree Somewhat,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree,Don't Agree or Disagree,Disagree,Agree,Agree,Agree Somewhat,Agree,Agree Somewhat,Disagree,Agree Somewhat,Agree Somewhat,Agree,Agree,Don't Agree or Disagree,Don't Agree or Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Mostly disagree,Disagree,Disagree,49,135,76
9,,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree Somewhat,Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Agree Somewhat,Agree,Don't Agree or Disagree,Agree,Strongly Agree,Don't Agree or Disagree,Don't Agree or Disagree,Strongly Agree,Don't Agree or Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree Somewhat,Strongly Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Somewhat characteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Characteristic of me,Uncharacteristic of me,Somewhat uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Mostly agree,Agree,Mostly agree,34,141,68
10,,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree Somewhat,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Somewhat,Agree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Agree,Don't Agree or Disagree,Don't Agree or Disagree,Disagree,Don't Agree or Disagree,Agree,Somewhat Disagree,Agree Somewhat,Strongly Agree,Agree Somewhat,Don't Agree or Disagree,Don't Agree or Disagree,Agree Somewhat,Agree Somewhat,Strongly Agree,Disagree,Agree,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Extremely characteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Somewhat characteristic of me,Somewhat characteristic of me,Uncharacteristic of me,Somewhat characteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Uncharacteristic of me,Extremely characteristic of me,Somewhat characteristic of me,Somewhat uncharacteristic of me,Uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Somewhat uncharacteristic of me,Extremely uncharacteristic of me,Neither characteristic nor uncharacteristic of me,Extremely uncharacteristic of me,Extremely uncharacteristic of me,Mostly agree,Mostly agree,Agree,47,154,91
