ID,AgeBracket,Gender,Ethnicity,HighestEducation,HRQOL1,HRQOL2,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,HRQOL,PWB,WEMWBS,MSPSS
1,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,5-10,7,7,7,7,5,6,6,5,6,4,7,6,2,88,54,73
2,34-48,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Good,5-10,7,7,7,7,7,3,2,5,4,7,7,4,3,95,54,67
3,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",Good,0-5,6,7,5,5,6,5,6,3,3,6,6,4,3,90,43,62
4,18-33,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Very Good,5-10,7,7,6,5,7,6,6,4,5,7,6,5,2,110,52,71
5,34-48, ,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,None,7,7,7,7,7,7,7,7,7,7,7,7,2,123,66,84
6,18-33, ,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,6,6,6,5,6,7,7,4,6,6,5,7,2,110,52,71
7,34-48,Female,Other British,Undergraduate Degree,Good,0-5,7,7,7,7,7,7,7,7,7,7,7,7,3,90,42,84
8,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,5-10,6,6,6,6,5,5,5,6,5,6,6,6,2,103,47,68
9,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Good,5-10,2,2,4,3,5,4,5,2,2,6,6,2,3,82,34,43
10,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Good,5-10,5,5,3,1,3,2,2,1,3,5,2,5,3,93,40,37
11,18-33,Female,Other British,Undergraduate Degree,Excellent,0-5,6,6,3,2,6,4,5,2,4,5,1,4,1,79,40,48
12,34-48, ,"African, African Scottish or African British",PhD or other professional qualification,Good,5-10,6,6,6,6,7,5,5,6,5,7,6,5,3,85,31,70
13,18-33, ,Other white ethnic group,Undergraduate Degree,Good,5-10,6,6,7,6,6,7,7,7,7,4,6,7,3,89,50,76
14,18-33, ,Other white ethnic group,Undergraduate Degree,Very Good,5-10,7,7,7,7,7,7,6,7,7,7,7,7,2,109,38,83
15,18-33,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,6,6,7,5,4,6,6,3,6,5,5,6,4,90,44,65
16,34-48, ,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Very Good,10-15,5,4,7,6,5,7,7,7,7,5,5,7,2,79,32,72
17,18-33,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Very Good, ,3,3,6,6,2,5,6,6,5,3,6,6,2,109,47,57
19,18-33,Female,Other British,Undergraduate Degree,Fair,5-10,7,6,6,5,6,6,7,5,7,6,6,7,4,95,48,74
20,34-48,Non-binary / third gender,Mixed or Multiple Ethnic Groups,PhD or other professional qualification,Good,25-30,5,6,4,4,6,5,5,4,5,6,4,5,3,68,31,59
21,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,5-10,7,7,2,2,7,1,1,1,1,6,1,1,4,58,35,37
22, , , , ,Fair,0-5,6,7,7,5,7,5,5,3,5,7,6,4,4,98,49,67
23,18-33, ,Other British,Undergraduate Degree,Good,None,6,6,6,5,6,6,7,4,6,5,6,6,3,100,42,69
24,18-33,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,0-5,7,7,7,7,7,7,7,7,7,7,7,7,2,105,55,84
25,34-48, ,Other British,"Postgraduate Qualification, Masters",Very Good,0-5,6,6,6,6,7,5,5,6,5,6,6,5,2,104,45,69
26,18-33,Prefer not to say,Other (not listed),"Postgraduate Qualification, Masters",Very Good,None,7,7,4,2,7,7,6,1,6,7,3,5,2,107,45,62
27,18-33, ,Other (not listed),Undergraduate Degree,Very Good,0-5,5,5,7,6,4,6,6,6,6,3,7,6,2,87,39,67
28,18-33,Female, , ,Good,0-5,6,5,6,6,5,6,5,6,6,5,6,6,3,96,36,68
29,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",Fair,10-15,2,7,6,6,7,6,5,6,6,7,6,5,4,74,29,69
30,34-48, ,"Chinese, Chinese Scottish or Chinese British",PhD or other professional qualification,Good,0-5,7,7,7,7,7,5,3,7,5,7,7,5,3,107,50,74
