ID,Age,Gender,SE1,SE2,SE3,SE4,AntisocialBehaviour,SEcategory,ParentalPressure
1,16,F,2,2,3,3,19,Low,Low
2,19,M,2,2,3,2,5,Low,High
3,17,M,3,3,3,3,5,Low,Low
4,15,F,2,3,2,2,20,Low,High
5,15,F,5,4,4,3,12,High,Low
6,14,F,2,3,2,2,14,Low,High
7,18,F,3,3,3,3,13,High,High
8,16,M,3,2,2,1,5,Low,Low
9,17,F,3,3,4,4,19,High,High
10,14,M,3,3,3,3,10,High,Low
11,19,F,2,4,4,4,16,High,High
12,14,M,6,4,5,2,19,High,Low
13,17,F,4,5,2,3,16,High,High
14,16,M,2,2,1,2,8,Low,High
15,13,M,4,3,2,2,15,Low,High
16,17,M,3,3,2,3,17,Low,High
17,18,M,4,2,4,5,13,High,Low
18,17,F,3,4,3,3,17,High,Low
19,14,F,2,2,1,2,19,Low,High
20,17,F,2,2,3,3,10,Low,Low
21,13,F,3,4,2,2,14,Low,Low
22,14,M,4,6,5,3,22,High,High
23,15,F,3,3,3,2,13,Low,Low
24,13,F,3,3,3,2,14,Low,High
25,16,F,3,3,3,2,8,Low,High
26,14,M,3,3,3,3,17,Low,Low
27,14,F,3,3,3,5,15,High,Low
28,14,F,2,2,2,2,15,Low,High
29,18,F,2,4,2,3,15,Low,Low
30,19,M,5,3,4,2,15,High,Low
31,14,M,4,4,4,3,13,High,Low
32,17,M,3,2,3,3,19,Low,High
33,14,F,3,2,3,3,15,Low,High
34,14,F,2,3,3,3,9,Low,Low
35,18,F,3,4,4,2,12,High,High
36,15,M,2,1,1,3,14,Low,High
37,16,M,4,5,3,3,14,High,Low
38,14,F,3,3,3,2,18,Low,Low
39,14,F,4,4,4,4,15,High,Low
40,16,M,4,4,3,3,18,High,High
41,15,F,4,4,4,5,19,High,Low
42,14,M,2,2,2,2,14,Low,Low
43,17,M,2,2,1,3,16,Low,High
44,16,F,2,1,3,3,11,Low,Low
45,17,M,2,4,1,2,24,Low,Low
46,14,M,3,2,4,3,18,Low,Low
47,17,F,3,3,3,4,15,High,High
48,19,M,3,3,3,2,13,Low,High
49,16,M,4,4,4,4,14,High,High
50,15,M,4,3,4,3,17,High,Low
51,16,F,3,4,2,2,11,Low,Low
52,14,M,4,3,2,3,8,Low,High
53,16,F,5,5,3,4,15,High,Low
54,18,F,3,4,2,3,13,Low,Low
55,15,F,5,5,3,3,5,High,Low
56,15,M,3,3,3,3,15,High,High
57,17,F,4,4,3,4,12,High,Low
