Age,Gender,PhysicalActivity,Sleep,SocialSupport,Wellbeing
19,Female,3.43,51.09,6,14
21,Female,3.91,60.73,19,23
20,Male,4.39,53.83,19,21
17,Female,6.72,65.27,30,25
20,Male,3.57,46.01,14,8
19,Male,1.69,56.01,13,20
26,Female,4.62,61.27,21,18
25,Female,3.03,50.75,24,17
21,Male,5.05,64.37,10,22
20,Male,4.81,60.93,14,21
24,Female,2.26,70.19,24,23
22,Male,0.38,49.99,9,16
20,Female,1.09,52.63,11,18
24,Male,4.3,60,10,22
26,Prefer not to disclose,2.04,50.81,12,14
26,Female,3.59,53.32,22,15
19,Female,5.47,50.59,16,20
24,Male,4.59,59.23,19,19
24,Female,3.63,49.65,18,22
25,Male,5.09,50.45,18,15
22,Male,5.5,64.13,25,26
20,Female,5.86,65.44,21,22
22,Male,3.84,55.24,10,14
22,Male,5.39,63.71,13,19
18,Male,4.75,63.62,24,23
18,Female,4.61,54.2,29,14
21,Male,2.5,56.16,13,13
19,Female,4.15,59.54,13,15
26,Female,4.12,57.54,20,20
26,Male,3.89,49.75,17,17
19,Female,5.5,68.25,13,23
23,Male,2.15,60.65,10,20
24,Female,4.39,54.83,20,18
20,Female,6.32,52.67,22,12
22,Female,3.7,39.63,14,13
20,Male,5.73,63.37,24,25
17,Male,2.91,55.02,29,18
26,Male,4.12,49.39,11,15
24,Male,3.19,59.69,24,20
19,Female,4.74,59.35,15,14
23,Nonbinary,3.99,52.41,23,16
19,Male,3.81,47.08,15,13
19,Male,4.06,69.23,22,19
26,Male,3.8,66.95,13,21
19,Male,6.31,59.78,15,21
24,Male,5.43,60.52,17,16
23,Female,4.06,61.96,28,23
18,Female,3.04,52.17,3,15
23,Female,2.47,59.21,20,19
20,Male,2.87,59.88,7,16
18,Female,3.03,47.06,18,12
17,Female,3.9,55.59,9,22
21,Other,3.45,62.46,16,26
26,Male,4.69,52.84,8,17
22,Female,6.5,62.44,22,23
21,Female,2.03,52.1,27,16
24,Male,4.67,63.57,23,23
19,Male,3.48,55.28,14,15
19,Female,4.68,63.78,11,20
23,Female,3.42,57.25,13,19
26,Male,4.22,62.79,21,21
22,Female,3.26,66.38,17,27
26,Female,4.8,71.65,11,32
18,Female,4.11,49.06,26,15
20,Female,2.68,54.42,21,26
20,Male,5.05,63.25,21,20
20,Female,4.03,52.83,17,13
21,Male,3.98,58.02,15,22
25,Male,3.31,55.14,23,17
25,Male,3.38,50.57,10,12
20,Prefer not to disclose,4.9,54.5,19,19
22,Male,3.57,66.26,31,24
26,Female,4.51,49.73,16,18
26,Female,4.94,69.37,21,22
22,Female,2.16,57.98,13,15
20,Female,4.51,54.45,15,12
24,Male,1.89,46.4,36,12
19,Male,3.6,48.25,12,17
22,Female,3.57,55.82,13,14
22,Female,2.45,55.24,18,16
24,Female,3.62,53.02,9,23
21,Male,4.76,43.86,15,14
25,Female,2.95,50.24,21,21
22,Female,2.51,67.93,16,28
24,Male,0.27,51.39,18,20
26,Male,2.88,45.55,16,20
21,Female,2.89,61.2,21,21
25,Male,6.08,63.64,14,20
23,Male,1.44,45.28,15,14
24,Male,4.69,57.77,14,20
25,Female,3.69,44.94,15,17
26,Male,4.25,60.72,25,14
22,Male,2.57,46.13,14,22
24,Female,1.76,42.84,11,13
22,Male,5.46,43.77,9,15
19,Female,4.17,59.3,20,17
19,Female,3.3,55.95,27,13
23,Female,2.75,63.81,7,14
21,Male,3.42,61.26,19,18
25,Female,5.98,70.13,19,19
25,Female,4.56,54.9,15,21
20,Male,3.29,61.23,9,14
19,Female,3,54.94,12,14
19,Other,4.58,49.17,22,14
19,Male,4.63,61.64,25,24
19,Female,4.84,57.23,10,17
18,Female,2.24,60.98,15,22
24,Male,5.8,59.2,17,28
22,Male,3.89,64.47,21,29
21,Female,3.28,57.71,24,18
25,Female,1.25,52.53,21,16
26,Female,4.25,54.31,18,23
19,Male,4.54,46.03,27,14
20,Female,3.89,64.1,15,20
22,Female,4.45,48.84,18,16
20,Female,4.45,53.98,19,14
19,Female,2.43,61.85,17,20
18,Female,2.9,57.48,24,16
