ID,Gender,Age,Role,WorkHrs,Experience,Sleep,MBI_EE1,MBI_EE2,MBI_EE3,MBI_EE4,MBI_EE5,MBI_EE6,MBI_EE7,MBI_EE8,MBI_EE9
1,Male,42,Doctor,22.02,8,8.34,3,3,3,3,3,2,2,3,3
2,Male,34,Nurse,41.27,13,8.98,3,4,3,4,3,3,3,4,4
3,Male,38,Nurse,51.9,15,5.58,5,5,5,4,4,4,5,5,5
4,Female,34,Doctor,47.23,11,9.08,5,6,5,5,5,6,7,5,5
5,Female,35,Doctor,47.15,11,7.24,5,5,5,6,5,6,6,5,6
6,Female,41,Nurse,61.1,17,6.22,6,6,6,6,6,6,6,7,6
7,Nonbinary,38,Doctor,33.76,10,8.55,3,2,3,3,3,3,3,3,3
8,Male,32,Nurse,64.44,12,7.43,6,5,5,5,6,7,5,5,5
9,Female,36,Nurse,45.21,16,5.78,4,4,4,4,4,4,4,4,4
10,Female,27,Nurse,43.61,8,7.46,4,4,4,4,4,4,4,4,5
11,Female,33,Doctor,42.41,1,5.62,5,5,4,5,5,5,4,5,5
12,Male,55,Nurse,39.39,11,5.19,7,7,6,7,6,6,7,7,5
13,Female,31,Nurse,37.65,0,7.58,4,5,4,4,4,4,4,5,4
14,Female,37,Nurse,49.76,14,3.8,4,4,4,4,4,4,4,5,4
15,Female,42,Doctor,49.61,17,3.04,5,4,4,5,5,5,4,5,5
16,Male,61,Doctor,30.89,25,8.37,4,4,4,4,4,4,4,4,4
17,Female,38,Doctor,60.11,12,8.82,3,4,3,3,3,4,4,3,3
18,Male,29,Nurse,43.03,7,8.16,5,5,4,5,5,4,5,5,4
19,Female,43,Nurse,61.08,18,5.41,4,7,6,7,6,7,6,7,7
20,Male,40,Doctor,38.6,7,9.14,4,5,5,4,5,5,4,5,5
21,Male,34,Nurse,42.02,10,8.16,4,4,4,4,4,4,5,4,4
22,Male,28,Nurse,32.92,9,7.93,1,1,1,1,0,1,1,0,0
23,Male,42,Doctor,48.43,12,7.78,4,4,4,4,4,3,4,4,4
24,Female,22,Nurse,41.77,0,5.75,3,3,3,3,3,3,3,3,3
25,Male,33,Nurse,32.92,14,8.1,1,1,2,1,1,1,2,2,1
26,Male,34,Nurse,35.12,10,6.59,3,3,3,4,4,4,4,3,3
27,Female,37,Doctor,63.56,12,5.8,5,5,5,4,5,4,5,5,5
28,Female,24,Nurse,44.53,3,7.29,2,3,2,3,2,3,2,3,2
29,Female,34,Doctor,38.39,9,7.93,2,1,3,1,2,1,2,2,2
30,Male,25,Nurse,55.44,5,7.38,3,4,4,4,3,3,3,3,3
31,Female,31,Nurse,57.24,12,6.15,5,5,5,4,5,5,5,5,5
32,Male,28,Doctor,50.46,3,4.72,2,2,3,2,2,3,2,2,3
33,Male,30,Nurse,36.09,10,7.62,5,4,4,4,4,4,4,4,5
34,Male,30,Nurse,53.7,3,5.1,5,5,5,5,4,5,5,5,5
35,Male,42,Doctor,37.3,9,8.55,3,3,3,3,2,3,3,3,3
