ID,Age,Gender,Employed,StudyYear,PSS
1,24,Female,Yes,2,26
2,19,Male,No,2,23
3,20,Female,No,4,7
4,18,Female,No,1,24
5,19,Female,Yes,1,23
6,21,Male,No,3,22
7,19,Female,Yes,2,29
8,21,Female,Yes,4,22
9,20,Female,No,3,11
10,18,Male,No,1,26
11,19,Female,Yes,3,21
12,22,Male,Yes,4,21
13,21,Female,Yes,4,21
14,19,Male,No,2,10
15,18,Female,No,1,12
16,20,Male,Yes,3,15
17,18,Female,Yes,1,22
18,19,Nonbinary,Yes,2,19
19,21,Female,Yes,4,29
20,20,Female,Yes,2,31
21,22,Female,No,4,19
22,20,Male,No,3,20
23,18,Male,No,1,14
24,20,Male,No,3,23
25,19,Female,No,2,15
26,19,Female,No,2,21
27,19,Female,No,1,28
28,22,Female,Yes,4,18
29,21,Male,No,4,11
30,20,Female,No,4,30
31,20,Female,No,3,20
32,20,Male,Yes,2,29
33,19,Male,Yes,3,9
34,19,Male,Yes,3,20
35,20,Female,No,3,16
36,19,Female,Yes,3,15
37,19,Transgender,No,3,14
38,19,Male,No,3,31
39,21,Female,No,3,25
40,18,Female,No,1,23
41,19,Male,No,3,28
42,19,Male,No,3,8
43,20,Female,No,3,25
44,18,Male,Yes,1,30
45,21,Female,Yes,4,28
46,21,Male,No,4,20
47,19,Female,No,3,27
48,20,Female,No,2,30
49,20,Male,Yes,3,30
50,21,Male,Yes,3,21
51,18,Female,No,2,19
52,21,Female,No,4,23
53,21,Female,No,4,16
54,19,Female,No,2,14
55,18,Female,No,1,19
56,19,Male,N,2,33
57,22,Female,No,4,10
58,18,Male,No,2,0
59,19,Male,Yes,2,29
60,20,Female,No,2,13
61,21,Transgender,No,3,18
62,19,Female,Yes,1,28
63,19,Male,Yes,3,30
64,19,Male,N,1,32
65,21,Male,No,3,15
66,22,Male,No,4,19
67,19,Female,No,3,10
68,18,Male,No,2,14
69,18,Female,N,2,14
70,18,Male,Yes,1,25
71,18,Female,Yes,2,23
72,20,Female,No,3,18
73,18,Female,No,1,10
74,19,Male,No,2,16
75,18,Male,Yes,1,21
76,18,Female,No,1,29
77,18,Male,No,1,17
78,21,Male,No,4,5
79,18,Female,No,2,16
80,21,Female,Yes,3,10
81,18,Female,No,1,15
82,22,Female,Yes,4,11
83,19,Female,No,1,19
84,21,Female,No,4,18
85,18,Female,Y,1,10
86,18,Female,No,1,21
87,18,Male,Yes,1,33
88,19,Male,No,2,26
89,20,Male,No,2,20
90,46,Male,Yes,3,10
91,19,Female,No,2,30
92,20,Female,Yes,3,18
93,22,Male,No,4,26
94,19,Female,No,2,4
95,20,Male,Yes,3,30
96,21,Female,Yes,4,21
97,22,Male,No,4,11
98,20,Male,No,3,10
99,18,Female,No,1,13
100,19,Male,No,2,28
101,19,Female,No,3,18
102,19,Male,No,3,29
103,19,Female,N,3,29
104,20,Male,Y,2,27
105,19,Female,Y,1,28
106,18,Male,No,1,18
107,22,Male,Yes,4,11
108,20,Male,No,3,20
109,43,Male,No,4,10
110,18,Female,No,1,24
111,18,Male,No,1,25
112,21,Male,Yes,4,22
113,22,Female,Yes,4,30
114,21,Male,No,3,18
115,21,Female,Yes,3,25
116,18,Male,No,1,11
117,21,Male,No,4,24
118,21,Male,Yes,4,14
119,19,Male,No,1,18
120,22,Female,No,4,14
121,18,Female,No,2,23
122,19,Female,No,2,21
123,18,Female,No,1,15
124,21,Female,Yes,4,18
125,18,Male,No,1,18
126,18,Female,Yes,1,11
127,21,Female,Y,4,19
128,19,Male,No,2,20
129,18,Male,Yes,1,30
130,20,Male,Yes,4,12
131,20,Female,Yes,2,24
132,21,Female,No,4,22
133,19,Female,Yes,1,24
134,19,Male,No,3,20
135,21,Male,No,4,14
136,18,Female,No,1,15
137,20,Female,Yes,3,20
138,22,Male,No,4,19
139,21,Male,No,4,16
140,20,Female,N,2,15
141,21,Male,Yes,4,19
142,19,Male,No,2,21
143,19,Male,No,2,80
144,22,Male,Yes,2,13
145,20,Female,Yes,4,13
146,19,Male,Yes,2,23
147,19,Female,Yes,2,22
148,19,Male,No,1,9
149,21,Male,Yes,3,25
150,20,Male,No,3,30
151,20,Female,No,3,13
152,22,Male,No,4,25
153,20,Male,No,2,16
154,20,Male,No,3,14
155,32,Female,Yes,4,5
156,19,Female,Yes,2,26
157,22,Male,N,4,20
158,19,Female,Yes,2,18
159,21,Female,No,4,27
160,20,Male,No,2,14
161,20,Male,Yes,3,36
162,27,Female,No,3,6
163,21,Male,Yes,3,22
164,19,Female,No,1,16
165,20,Female,No,2,14
166,23,Male,No,4,31
167,18,Female,No,1,12
168,28,Male,No,4,13
169,20,Female,Yes,2,33
170,18,Male,No,1,25
171,19,Male,No,3,16
172,19,Female,No,2,11
173,20,Male,Yes,3,14
174,20,Female,No,3,22
175,20,Male,No,3,27
176,18,Female,N,2,20
177,21,Female,No,4,23
178,18,Male,No,1,23
179,19,Male,Yes,3,8
180,19,Male,No,2,20
181,20,Female,No,3,15
182,18,Female,No,1,24
183,19,Female,Yes,2,28
184,18,Male,No,1,18
185,21,Transgender,No,3,20
186,18,Female,No,1,15
187,19,Male,No,2,14
188,26,Male,No,2,23
189,21,Male,No,3,28
190,20,Male,No,2,21
191,20,Male,No,2,15
192,22,Female,No,4,30
193,19,Female,Yes,2,11
194,21,Male,No,4,23
195,21,Male,No,4,13
196,19,Female,No,3,30
197,19,Female,No,2,18
198,20,Female,No,3,24
199,22,Male,No,4,23
200,20,Nonbinary,No,2,13
201,19,Male,No,3,15
202,20,Female,No,3,34
203,21,Male,No,3,17
204,19,Female,No,2,10
205,21,Female,No,4,12
206,19,Female,No,3,11
