ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q4,Q47_1,Q47_2,Q47_3,Q47_4,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Q48_7,Q48_8,Q48_9,Q48_10,Q48_11,Q48_12,Q48_13,Q48_14,Q48_15,Q48_16,Q1,Q2,Q3,Q4,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16
0,AgeBracket,Sex assigned at birth (optional),Current sex if different than above (optional),Please use the drop down to choose your ethnicity (optional),Please enter your highest level of education (optional),Technology is my friend.,I enjoy learning new computer programs and hearing about new technologies.,People expect me to know about technology and I don't want to let them down.,"If I am given an assignment that requires that I learn to use a new program or how to use a machine, I usually succeed.",I relate well to technology and machines.,I am comfortable learning new technology.,I know how to deal with technological malfunctions or problems.,Solving a technological problem seems like a fun challenge.,I find most technology easy to learn.,I feel as up-to-date on technology as my peers.,I turned to work or other activities to take my mind off of things.,I concentrated my efforts on doing something about the situation I'm in.,"I said to myself ""this isn't real.""",I used alcohol or other drugs to make myself feel better.,I got emotional support from others.,I gave up trying to deal with it.,I took action to try to make the situation better.,I refused to believe that it has happened.,I said things to let my unpleasant feelings escape.,I used alcohol or other drugs to help me get through it.,"I tried to see it in a different light, to make it seem more positive.",I tried to come up with a strategy about what to do.,I got comfort and understanding from someone.,I gave up the attempt to cope.,I looked for something good in what is happening.,I made jokes about it.,"I did something to think about it less, such as going to movies, watching TV, reading, daydreaming, sleeping or shopping.",I accepted the reality of the fact that it has happened.,I expressed my negative feelings.,I tried to find comfort in my religion or spiritual beliefs.,I learned to live with it.,I thought hard about what steps to take.,I prayed or meditated.,I made fun of the situation.,I tried to get advice or help from other people about what to do.,I got help and advice from other people.,I criticized myself.,I blamed myself for things that happened.,"Please indicate how often you do each of the following e-mail activities on any device (mobile phone, laptop, desktop, etc.) - Send, receive and read e-mails (not including spam or junk mail).","Please indicate how often you do each of the following e-mail activities on any device (mobile phone, laptop, desktop, etc.) - Check your personal e-mail.","Please indicate how often you do each of the following e-mail activities on any device (mobile phone, laptop, desktop, etc.) - Check your work or school e-mail.","Please indicate how often you do each of the following e-mail activities on any device (mobile phone, laptop, desktop, etc.) - Send or receive files via e-mail.",Please indicate how often you do each of the following activities on your mobile phone. - Send and receive text messages on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Make and receive mobile phone calls.,Please indicate how often you do each of the following activities on your mobile phone. - Check for text messages on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Check for voice calls on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Read e-mail on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Get directions or use GPS on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Browse the web on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Listen to music on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Take pictures using a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Check the news on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Record video on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Use apps (for any purpose) on a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Search for information with a mobile phone.,Please indicate how often you do each of the following activities on your mobile phone. - Use your mobile phone during class or work time.,"How often do you do each of the following activities? - Watch TV shows, movies, etc. on a TV set.",How often do you do each of the following activities? - Watch video clips on a TV set.,"How often do you do each of the following activities? - Watch TV shows, movies, etc. on a computer.",How often do you do each of the following activities? - Watch video clips on a computer.,How often do you do each of the following activities? - Download media files from other people on a computer.,How often do you do each of the following activities? - Share your own media files on a computer.,How often do you do each of the following activities? - Search the Internet for news on any device.,How often do you do each of the following activities? - Search the Internet for information on any device.,How often do you do each of the following activities? - Search the Internet for videos on any device.,How often do you do each of the following activities? - Search the Internet for images or photos on any device.,"How often do you do each of the following activities? - Play games on a computer, video game console or smartphone BY YOURSELF.","How often do you do each of the following activities? - Play games on a computer, video game console or smartphone WITH OTHER PEOPLE IN THE SAME ROOM.","How often do you do each of the following activities? - Play games on a computer, video game console or smartphone WITH OTHER PEOPLE ONLINE.",Do you have a Facebook (or other social media) account?,Please answer the following questions about your Facebook and other online friends. - How many friends do you have on Social?,Please answer the following questions about your Facebook and other online friends. - How many of your Social Media friends do you know in person?,Please answer the following questions about your Facebook and other online friends. - How many people have you met online that you have never met in person?,Please answer the following questions about your Facebook and other online friends. - How many people do you regularly interact with online that you have never met in person?,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Check your personal page or other social networks.,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Check your personal page from your smartphone.,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Check Facebook at work or school.,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Post status updates.,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Post photos.,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Browse profiles and photos.,How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Read postings.,"How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Comment on postings, status updates, photos, etc.","How often do you do each of the following activities on social networking sites such as Facebook/Instagram/TikTok? - Click “Like” to a posting, photo, etc.",Please answer the following questions - I feel it is important to be able to find any information whenever I want online.,Please answer the following questions - I feel it is important to be able to access the Internet any time I want.,Please answer the following questions - I think it is important to keep up with the latest trends in technology.,Please answer the following questions - I get anxious when I don’t have my cell phone.,Please answer the following questions - I get anxious when I don’t have the Internet available to me.,Please answer the following questions - I am dependent on my technology.,Please answer the following questions - Technology will provide solutions to many of our problems.,Please answer the following questions - With technology anything is possible.,Please answer the following questions - I feel that I get more accomplished because of technology.,Please answer the following questions - New technology makes people waste too much time.,Please answer the following questions - New technology makes life more complicated.,Please answer the following questions - New technology makes people more isolated.,"Please answer the following questions - I prefer to work on several projects in a day, rather than completing one project and then switching to another.","Please answer the following questions - When doing a number of assignments, I like to switch back and forth between them rather than do one at a time.",Please answer the following questions - I like to finish one task completely before focusing on anything else.,"Please answer the following questions - When I have a task to complete, I like to break it up by switching to other tasks intermittently.","In the last month,how often have you felt that you were unable to control the important things in your life?","In  the last month, how often have you felt confident about your ability to handle your personal problems?","In  the last month, how often have you felt that things were going your way?","In  the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",Affinity for Technology,Brief COPE,PSS,E-mailing subscale,Text messaging subscale,Phone calling subscale,Smart phone usage subscale,TV viewing subscale,Media sharing subscale,Internet searching subscale,Video gaming subscale,General social media usage subscale,Online friendships,Positive attitudes,Anxiety/dependence,Negative attitudes,Pref for task switching
1,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I did this a medium amount,I did this a little bit,I didn't do this at all,I didn't do this at all,I didn't do this at all,I didn't do this at all,I didn't do this at all,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a lot,I did this a medium amount,All the time,All the time,All the time,All the time,All the time,Several times a week,Once a week,Never,All the time,All the time,All the time,All the time,All the time,Several times an hour,All the time,All the time,All the time,Several times a day,Once a day,Several times a week,Several times a week,Several times a week,Never,Never,Several times a month,Once a week,Once a week,Once a week,Once a month,Never,Never,Yes,101-175,101-175,101-175,0,All the time,All the time,Several times a week,Never,Once a month,Once a month,Once a month,Once a month,Once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Sometimes,Sometimes,43,50,8,40,21,6,89,11,11,15,4,36,13,23,12,14,19
2,18-33,Female,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,I did this a lot,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a medium amount,I did this a little bit,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a medium amount,I did this a lot,I did this a lot,I did this a lot,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a lot,Several times a week,Several times a week,Several times a week,Several times a week,Several times an hour,Several times a day,All the time,Once a day,Several times a day,Once a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a month,Several times a week,Once a month,Several times a week,Several times a week,Several times a week,Several times a month,Several times a day,Several times a day,Several times a day,Never,Never,Never,Yes,101-175,101-175,0,0,Several times a day,Several times a day,Several times a day,Once a month,Several times a month,Several times a day,Several times a day,Several times a week,Several times a day,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Never,Fairly Often,Fairly Often,Almost Never,33,88,3,20,26,13,62,7,12,24,3,52,10,22,12,14,11
3,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,I did this a medium amount,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a medium amount,I did this a medium amount,I didn't do this at all,I did this a lot,I did this a lot,I did this a little bit,I didn't do this at all,Several times a week,Several times a week,Several times a week,Several times a week,Several times a day,Once an hour,Several times a day,Several times a day,Several times a week,Once a week,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a day,Several times a day,Several times a day,Once a day,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a day,Once a day,Once a day,Yes,51-100,376-500,251-375,101-175,Several times an hour,Several times an hour,Several times an hour,Several times a month,Several times a month,Several times an hour,Several times an hour,Several times a week,Several times an hour,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Fairly Often,Fairly Often,Sometimes,Fairly Often,18,79,9,20,21,15,58,13,20,20,19,65,20,27,15,12,17
4,33-48,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I did this a medium amount,I did this a lot,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a medium amount,I did this a lot,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,All the time,All the time,All the time,All the time,Several times a day,Several times a day,Several times a day,Several times a week,Once an hour,All the time,All the time,All the time,All the time,Once a month,Several times a month,Once an hour,All the time,Several times a month,All the time,Never,Never,Never,Several times a month,Several times a month,All the time,All the time,All the time,All the time,Never,Never,Never,Yes,251-375,101-175,51-100,Jan-50,All the time,All the time,Never,Several times a week,Several times a month,All the time,All the time,All the time,All the time,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Very Often,Very Often,Fairly Often,Sometimes,37,73,7,40,17,12,71,11,5,40,3,69,15,22,9,9,9
5,33-48,Female,Female,"Caribbean, Caribbean Scottish or Caribbean British",Undergraduate Degree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I did this a medium amount,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a medium amount,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,I did this a little bit,Once an hour,Several times a day,Several times a day,Several times a day,Once an hour,Several times a week,Several times a day,Once a day,Once an hour,Several times a day,Once an hour,Several times a day,Several times a day,Several times a day,Several times a day,Once an hour,Once an hour,Several times a day,Never,Never,Several times a week,Several times a week,Once a day,Once a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a month,Never,Never,Yes,751 or more,376-500,51-100,Jan-50,Several times a day,Several times a day,Once a day,Several times a week,Once a week,Several times a week,Several times a week,Once a day,Once a day,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Sometimes,Fairly Often,Sometimes,Fairly Often,27,59,8,29,22,11,67,2,16,28,4,51,21,21,12,12,12
6,33-48,Male,,Other white ethnic group,"Postgraduate Qualification, Masters",Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a medium amount,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a medium amount,I didn't do this at all,I didn't do this at all,Several times a day,Several times a day,Several times a day,Several times a week,Several times a day,Several times a day,Several times a day,Never,Several times a day,Several times a month,Several times an hour,Never,Several times a week,Several times a day,Once a month,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a month,Once a month,Once a month,Once a month,Several times a day,Several times a day,Once a day,Several times a month,Once a month,Never,Never,Yes,51-100,51-100,0,0,Once a month,Several times a month,Never,Once a month,Never,Several times a month,Once a month,Once a month,Once a month,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Never,Very Often,Fairly Often,Never,39,57,1,26,21,8,48,14,6,23,4,18,8,21,6,3,18
7,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a little bit,I did this a medium amount,I didn't do this at all,I didn't do this at all,I didn't do this at all,I didn't do this at all,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a little bit,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,I did this a lot,I did this a medium amount,I did this a medium amount,I did this a little bit,I did this a little bit,Several times a day,Several times a day,Several times a day,Several times a day,All the time,Several times a week,Several times a day,Once a week,Several times a day,Several times a month,Several times a day,Several times a week,Several times a day,Several times a month,Several times a week,All the time,Several times a day,Several times a week,Once a month,Never,Once a day,Several times a week,Several times a week,Several times a week,Once a week,Several times a day,Several times a week,Several times a week,Several times a day,Once a month,Never,Yes,376-500,251-375,Jan-50,0,Several times a month,Several times a month,Never,Never,Once a month,Several times a week,Several times a day,Never,Once a day,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Sometimes,Almost Never,Sometimes,Fairly Often,42,65,10,28,22,9,54,3,16,21,10,29,16,26,13,9,12
8,18-33,Female,Female,Other (not listed),"Postgraduate Qualification, Masters",Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,I did this a little bit,I did this a little bit,I didn't do this at all,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I didn't do this at all,I did this a little bit,I did this a medium amount,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a little bit,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a lot,I did this a medium amount,I did this a lot,I did this a little bit,I did this a little bit,I did this a medium amount,I did this a little bit,Once an hour,Several times a day,Several times a day,Several times a week,Several times a week,Several times a month,Several times a week,Several times a month,Several times a day,All the time,Several times an hour,Several times a day,Several times a day,Never,Several times a day,Once an hour,Several times an hour,Several times an hour,Several times a week,Never,Several times a week,Once a day,Once a month,Several times a month,Once a day,Once a month,Several times an hour,Several times an hour,Several times a week,Never,Never,Yes,751 or more,501-750,Jan-50,0,Once an hour,Once a week,Once a week,Once a month,Once a month,Once a day,Several times a day,Once a month,Once an hour,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Sometimes,Fairly Often,Sometimes,Sometimes,32,68,7,27,19,6,65,6,13,26,7,43,20,17,8,8,15
9,33-48,Female,Female,Other British,Undergraduate Degree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,I did this a little bit,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a lot,I didn't do this at all,I did this a little bit,I didn't do this at all,I did this a medium amount,I did this a medium amount,I did this a lot,I didn't do this at all,I did this a lot,I did this a lot,I didn't do this at all,I didn't do this at all,I did this a lot,I did this a lot,I did this a lot,I did this a lot,All the time,Once a day,Several times an hour,Several times an hour,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a week,Several times a day,All the time,All the time,Never,Several times a week,All the time,All the time,All the time,Several times a day,Never,Several times a day,Never,Never,Never,Never,Several times a day,Never,Never,Never,Never,Never,Yes,176-250,101-175,Jan-50,Jan-50,Several times a day,Several times a day,Several times a day,Several times a month,Several times a month,Several times a week,Several times a week,Several times a week,Several times a week,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Never,Very Often,Very Often,Almost Never,33,73,1,34,15,24,65,8,9,10,3,47,13,22,6,12,18
