ID,AgeBracket,Gender,Ethnicity,HighestEducation,Perfectionism,Self-Construal,AGQ
1,18-33,Female,Other white ethnic group,Undergraduate Degree,45,141,59
2,18-33,Female,Other British,"Postgraduate Qualification, Masters",45,162,55
3,18-33,Female,Other British,,36,136,62
5,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",51,140,99
6,,Female,Other British,Undergraduate Degree,25,145,66
7,18-33,Female,Irish,Undergraduate Degree,45,133,73
8,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,49,135,76
9,,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",34,141,68
10,,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,47,154,91
11,18-33,Prefer not to say,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,61,141,110
12,18-33,Female,Other British,Undergraduate Degree,36,119,66
13,18-33,Female,,,47,150,129
14,18-33,Female,Other British,Undergraduate Degree,59,146,95
15,18-33,Non-binary / third gender,Other British,Undergraduate Degree,30,131,52
16,33-48,Female,"Caribbean, Caribbean Scottish or Caribbean British",Undergraduate Degree,55,149,88
19,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,56,142,87
20,33-48,Female,Other (not listed),"Postgraduate Qualification, Masters",37,135,65
21,33-48,Female,Other white ethnic group,"Postgraduate Qualification, Masters",48,144,115
22,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,39,138,60
23,33-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",47,155,127
24,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,54,146,77
25,18-33,Female,Other (not listed),,55,156,97
26,18-33,Female,Other British,Undergraduate Degree,42,154,45
27,33-48,Female,Mixed or Multiple Ethnic Groups,PhD or other professional qualification,55,140,77
28,18-33,Female,Other British,"Postgraduate Qualification, Masters",33,141,83
29,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",61,149,93
30,33-48,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",40,132,61
31,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,59,120,123
32,,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,48,132,127
33,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,37,152,72
34,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,51,160,103
35,18-33,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",61,130,105
36,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,50,136,75
37,18-33,Female,Other (not listed),Undergraduate Degree,64,128,120
38,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,33,148,89
39,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,51,138,99
40,18-33,Female,Scottish,"Postgraduate Qualification, Masters",49,130,92
41,33-48,Male,Other white ethnic group,"Postgraduate Qualification, Masters",17,143,43
42,18-33,Female,Other (not listed),Undergraduate Degree,32,132,78
43,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,46,136,66
44,18-33,Female,Other white ethnic group,Undergraduate Degree,38,132,70
45,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",22,128,114
46,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",36,127,103
47,18-33,Female,Other (not listed),Undergraduate Degree,51,136,109
50,18-33,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",38,136,55
51,18-33,Female,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",42,149,95
52,18-33,Female,Other (not listed),Undergraduate Degree,48,109,84
53,18-33,Female,Other white ethnic group,Undergraduate Degree,64,157,119
54,18-33,Female,Other white ethnic group,Undergraduate Degree,46,144,76
55,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",52,150,107
56,18-33,Female,Polish,Undergraduate Degree,43,123,112
57,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",63,136,100
58,18-33,Female,"Chinese, Chinese Scottish or Chinese British",,49,129,124
59,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",62,131,68
60,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",41,147,90
61,18-33,Female,Other British,Undergraduate Degree,35,138,60
64,18-33,Female,Other British,Undergraduate Degree,43,110,0
65,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",44,161,99
66,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",23,125,108
67,,,,,17,155,96
68,33-48,Female,,,40,133,81
69,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,37,139,68
70,,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",54,143,124
71,18-33,Male,"Indian, Indian Scottish or Indian British",Undergraduate Degree,56,140,142
72,18-33,Female,,,46,130,53
73,33-48,Female,Mixed or Multiple Ethnic Groups,"Postgraduate Qualification, Masters",54,143,124
74,18-33,Female,Other British,"Postgraduate Qualification, Masters",49,128,90
75,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",36,140,83
76,33-48,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,36,152,128
77,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,29,133,82
78,18-33,Male,Other British,Undergraduate Degree,50,132,82
81,18-33,Male,Other British,Undergraduate Degree,35,121,82
82,18-33,Female,Other white ethnic group,Undergraduate Degree,46,156,83
83,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,21,146,54
84,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,33,135,103
85,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",58,143,129
87,18-33,Female,Other British,Undergraduate Degree,41,140,70
88,18-33,Female,Other white ethnic group,Undergraduate Degree,55,142,122
89,18-33,Male,Other white ethnic group,Undergraduate Degree,43,129,48
90,,Female,,,48,140,101
91,33-48,Female,Other white ethnic group,Undergraduate Degree,53,134,106
92,18-33,Female,Other white ethnic group,Undergraduate Degree,46,156,111
93,33-48,Female,"Chinese, Chinese Scottish or Chinese British",PhD or other professional qualification,39,143,126
94,18-33,Male,Other white ethnic group,Undergraduate Degree,31,154,97
95,,Female,,,33,143,88
96,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",35,128,81
97,18-33,Female,,,37,147,89
99,33-48,Male,"African, African Scottish or African British","Postgraduate Qualification, Masters",49,141,88
100,18-33,Female,Irish,"Postgraduate Qualification, Masters",40,133,83
101,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,34,159,105
102,,Female,Other white ethnic group,Undergraduate Degree,38,147,102
103,,Female,,,55,147,86
105,18-33,Female,Other British,Undergraduate Degree,21,172,99
106,18-33,Female,Other British,"Postgraduate Qualification, Masters",59,146,128
108,49-64,Female,Polish,PhD or other professional qualification,28,158,69
109,18-33,Prefer not to say,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",45,128,128
110,18-33,Female,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",48,152,110
111,,Female,Polish,"Postgraduate Qualification, Masters",53,144,121
112,18-33,Female,,,53,170,43
114,18-33,Female,Other white ethnic group,"Postgraduate Qualification, Masters",46,139,94
115,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,52,149,106
116,18-33,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,48,133,91
117,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",45,135,93
118,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,50,133,84
119,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",31,149,99
120,18-33,Female,Irish,"Postgraduate Qualification, Masters",52,124,50
121,18-33,Female,Polish,Undergraduate Degree,47,130,143
122,18-33,Male,Irish,Undergraduate Degree,38,137,97
123,18-33,Female,Other British,,63,152,93
124,18-33,Female,,,66,163,94
125,18-33,Female,Other white ethnic group,Undergraduate Degree,59,147,104
126,18-33,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,50,145,120
127,18-33,Female,Other (not listed),"Postgraduate Qualification, Masters",43,130,107
128,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",56,132,96
129,18-33,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,51,166,70
130,18-33,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",44,95,107
131,18-33,Female,"Chinese, Chinese Scottish or Chinese British",,39,130,62
132,,Female,,,37,130,98
133,,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,48,129,101
134,18-33,Male,Other white ethnic group,Undergraduate Degree,28,142,96
135,,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",39,144,106
136,18-33,Transgender Female,Other British,Undergraduate Degree,60,159,114
