ID,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Introduction,Equality,Need,Equity,Entitlement,Q1,Q2,Q3,Q4,Q5,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q5_4_TEXT,Q6,Q6_4_TEXT,Q7,Q8,Q9,Q10,Q10_9_TEXT,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.9,Q11.10,Q11.11,Q11.12,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8,Q12.9,SC0,SC1,SC2
0,Please use the drop down to choose your age bracket (optional),Sex assigned at birth (optional),Current sex if different than above (optional),Please use the drop down to choose your ethnicity (optional),Please enter your highest level of education (optional),It is morally wrong to hunt wild animals just for sport.,I do not think that there is anything wrong with using animals in medical research.,There should be extremely stiff penalties including jail sentences for people who participate in cock-fighting.,"Wild animals, such as mink and raccoons, should not be trapped and their skins made into fur coats.",There is nothing morally wrong with hunting wild animals for food.,I think people who object to raising animals for meat are too sentimental.,Much of the scientific research done with animals is unnecessary and cruel.,I think it is perfectly acceptable for cattle and hogs to be raised for human consumption.,"Basically, humans have the right to use animals as we see fit.",The slaughter of whales and dolphins should be immediately stopped even if it means some people will be put out of work.,I sometimes get upset when I see wild animals in cages at zoos.,"In general, I think that human economic gain is more important than setting aside more land for wildlife.",Too much fuss is made over the welfare of animals these days when there are many human problems that need to be solved.,Breeding animals for their skins is a legitimate use of animals.,Some aspects of biology can only be learned through dissecting preserved animals such as cats.,"Continued research with animals will be necessary if we are to ever conquer diseases such as cancer, heart disease and AIDS.",It is unethical to breed purebred dogs for pets when millions of dogs are killed in animal shelters each year.,"The production of inexpensive meat, eggs, and dairy products justifies maintaining animals under crowded conditions.",The use of animals such as rabbits for testing the safety of cosmetics and household products is unnecessary and should be stopped.,The use of animals in rodeos and circuses is cruel.,There are many different views as to what makes society fair or unfair.,A society is fair when income and wealth are equally distributed among all people.,A society is fair when it takes care of those who are poor and in need regardless of what they give back to society.,A society is fair when hard-working people earn more than others.,A society is fair when people with families with high social status enjoy privileges in their lives.,Before voting I thoroughly investigate the qualifications of all the candidates.,I never hesitate to go out of my way to help someone in trouble.,It is sometimes hard for me to go on with my work if I am not encouraged.,I have never intensely disliked anyone.,On occasion I have doubts about my ability to succeed in life.,I have never intensely disliked anyone.,On occasion I have doubts about my ability to succeed in life.,I sometimes feel resentful when I don't get my own way.,I am always careful about my manner of dress.,My table manners at home are as good as when I eat out in a restaurant.,"If I could get into a movie without paying and be sure I was not seen, I would probably do it.","On a few occasions, I have given up doing something because I thought to little of my ability.",I like to gossip at times.,There have been times when I felt like rebelling against people in authority even though I knew they were right.,"No matter who I'm talking to, I'm always a good listener.","I can remember ""playing sick"" to get out of something.",There have been occasions when I took advantage of someone.,I'm always willing to admit it when I make a mistake.,I always try to practice what I preach.,"I don't find it particularly difficult to get along with loud-mouthed, obnoxious people.","I sometimes try to get even, rather than forgive and forget.",When I don't know something I don't at all mind admitting it.,"I am always courteous, even to people who are disagreeable.",At times I have really insisted on having things my own way.,There have been occasions when I felt like smashing things.,I would never think of letting someone else be punished for my own wrongdoings.,I never resent being asked to return a favour.,I have never been irked when people expressed ideas very different from my own.,I never make a long trip without checking the safety of my car.,There have been times when I was quite jealous of the good fortune of others.,I have almost never felt the urge to tell someone off.,I am sometimes irritated by people who ask favours of me.,I have never felt that I was punished without cause.,I sometimes think when people have a misfortune they only got what they observed.,I have never deliberately said something that hurt someone's feelings.,Which of the following best describes a vegan diet?,Which of the following best describes a vegetarian diet?,Which of the following best describes a plant-based diet?,How long do you expect it would take to educate a person on a plant-based diet? - Selected Choice,How long do you expect it would take to educate a person on a plant-based diet? - Other (please specify) - Text,Would you recommend a plant-based diet to others? - Selected Choice,Would you recommend a plant-based diet to others? - Other (please specify) - Text,Would you ever consider adopting a plant-based diet? - Selected Choice,Would you ever consider adopting a plant-based diet? - Other (please specify) - Text,A plant-based diet correlates most with what type of diet?,"If you would consider adopting a plant-based diet, for how long would you be willing to change your diet for?",Would you follow a plant-based diet if blood tests were done to assess your health?,Which of the following diets have you tried? - Selected Choice,Which of the following diets have you tried? - Other (please specify) - Text,You cannot get enough protein on a plant-based diet,Processed foods are avoided in a plant-based diet,Dairy is encouraged in a plant-based diet,Animal foods are limited or excluded from a plant-based diet,Oil is encouraged in a plant-based diet,Eggs are limited or excluded from a plant-based diet,Complex carbohydrates are discouraged in a plant-based diet,Nuts are high in protein,Dark green leafy vegetables are high in iron,B12 is a nutrient that must be monitored closely in a plant-based diet,The best source of calcium is milk,Omega-3 fatty acids cannot be obtained from plant-based foods,A plant-based diet can prevent and treat many chronic diseases,Animal proteins are the only quality protein sources,A plant-based diet is a safe and health promoting diet,A plant-based diet can reduce an individual’s risk of developing cardiovascular disease,Fish is a necessary part of a healthful diet,A plant-based diet can reduce an individual’s risk of developing types 2 diabetes,A plant-based diet can reduce an individual’s risk of developing some cancers,"I would consider adopting a plant-based diet, but only if I was provided monetary incentives",I would consider adopting a plant-based diet if I received free health screenings and blood tests,AAS,BSJO,SDS
1,18-33,Female,,Other white ethnic group,Undergraduate Degree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree completely,Disagree,Disagree,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,30 minutes,,Yes,,Yes,,Vegetarian,6 months or more,Yes,Vegetarian Diet,,Disagree,Disagree,Disagree,Agree,Not Sure,Not Sure,Disagree,Not Sure,Agree,Agree,Disagree,Not Sure,Agree,Strongly Disagree,Agree,Not Sure,Strongly Disagree,Not Sure,Not Sure,Disagree,Agree,114,17,26
2,18-33,Female,Female,Other British,Undergraduate Degree,Agree,Agree,Undecided,Agree,Agree,Disagree,Undecided,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Undecided,Agree,Agree,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree completely,Disagree completely,Disagree,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,50 minutes,,Maybe,,Maybe,,Vegan,2-4 weeks,Maybe,I have never been on a diet,,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Not Sure,Disagree,Disagree,Disagree,Disagree,Agree,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Agree,89,15,26
3,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Eat all animal products,Eat all animal products,Similar to a vegan/vegetarian diet,30 minutes,,No,,No,,Vegan,Less than 1 week,No,I have never been on a diet,,Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Not Sure,Strongly Disagree,Not Sure,Agree,Agree,Strongly Agree,Disagree,Not Sure,Strongly Agree,Not Sure,80,25,20
4,18-33,Female,,Irish,Undergraduate Degree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Undecided,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree completely,Disagree,Disagree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,5 minutes,,Yes,,Yes,,Vegan,6 months or more,Yes,Vegan Diet,,Disagree,Agree,Disagree,Agree,Agree,Not Sure,Disagree,Agree,Agree,Strongly Agree,Not Sure,Agree,Not Sure,Disagree,Agree,Agree,Disagree,Agree,Disagree,Not Sure,Agree,100,17,24
5,18-33,Male,Male,,,Agree,Strongly Disagree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Strongly Agree,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Undecided,Strongly Agree,Undecided,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree completely,Disagree,Agree,Neither agree nor disagree,Disagree,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,50 minutes,,Maybe,,Maybe,,Vegan,Less than 1 week,Maybe,I have never been on a diet,,Strongly Disagree,Not Sure,Not Sure,Not Sure,Agree,Not Sure,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not Sure,Agree,Strongly Disagree,Strongly Agree,Not Sure,Strongly Agree,Not Sure,Not Sure,Not Sure,Not Sure,94,16,25
6,18-33,Female,Female,Other British,Undergraduate Degree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Undecided,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Undecided,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree completely,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Yes,,Yes,,Vegetarian,2-4 weeks,Yes,I have never been on a diet,,Strongly Agree,Strongly Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Strongly Disagree,Agree,Strongly Agree,Not Sure,Not Sure,Not Sure,Not Sure,Strongly Disagree,Agree,Strongly Agree,Not Sure,Agree,Agree,Disagree,Agree,105,15,27
7,,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Undecided,Strongly Disagree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree completely,Disagree,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,30 minutes,,Maybe,,Maybe,,Vegetarian,6 months or more,Yes,Vegetarian Diet,,Not Sure,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Not Sure,Agree,Disagree,Agree,Agree,Not Sure,Agree,Agree,,Strongly Agree,96,16,23
8,18-33,Female,Female,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree completely,Agree completely,Neither agree nor disagree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Similar to a vegan/vegetarian diet,15 minutes,,Yes,,Yes,,Vegan,6 months or more,Yes,Vegetarian Diet,,Not Sure,Agree,Strongly Disagree,Strongly Agree,Not Sure,Agree,Not Sure,Agree,Strongly Agree,Not Sure,Agree,Not Sure,Agree,Disagree,Agree,Agree,Agree,Agree,Not Sure,Agree,Strongly Agree,118,21,27
9,18-33,Female,Female,Other British,Undergraduate Degree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Undecided,Disagree,Undecided,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Undecided,Undecided,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree completely,Agree completely,Agree completely,Neither agree nor disagree,Disagree completely,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Do not eat red/white meat, fish, dairy, and eggs","Do not eat any meat (including red/white meat, fish), but DO eat other animal products (including dairy and eggs)",Meat is limited or excluded,5 minutes,,Yes,,Yes,,Vegetarian,6 months or more,Yes,Vegetarian Diet,,Disagree,Disagree,Not Sure,Agree,Not Sure,Disagree,Not Sure,Strongly Agree,Strongly Agree,Not Sure,Not Sure,Not Sure,Agree,Disagree,Agree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Agree,101,19,25
