ID,Gender,Age,Group,Correct
1,2,12.26,0,36
2,2,7.14,0,20
3,2,11.64,0,28
4,1,7.22,0,24
5,1,12.43,0,29
6,1,10.46,0,26
7,1,11.16,0,32
8,2,6.53,0,19
9,1,8.47,0,22
10,2,6.74,0,23
11,2,12.28,0,7
12,2,8.14,0,29
13,2,7.27,0,27
14,2,8.19,0,28
15,2,6.21,0,35
16,1,11.96,0,30
17,1,7.73,0,13
18,1,6.76,0,17
19,2,8.15,0,5
20,2,9.11,0,36
21,1,7.82,0,28
22,1,9.91,0,18
23,1,8.46,0,17
24,2,8.37,0,22
25,1,7.27,0,9
26,1,9.21,0,23
27,1,12.52,0,19
28,2,12.89,0,28
29,1,12.47,0,39
30,1,11.09,0,33
31,1,10.65,0,10
32,1,6.02,0,10
33,1,12.73,0,3
34,1,7.76,0,27
35,2,10.86,0,38
36,1,6.08,0,33
37,2,7.32,0,17
38,2,7.87,0,33
39,1,10.27,0,30
40,2,11.96,0,19
41,1,8.41,0,28
42,1,11.73,0,8
43,1,12.62,0,41
44,1,6.28,0,24
45,2,10.24,0,14
46,1,9.13,0,10
47,1,11.26,0,19
48,1,8.18,0,15
49,1,8.58,0,20
50,1,12.13,0,27
51,1,6.57,0,25
52,1,9.8,0,30
53,1,12.67,0,29
54,2,7.12,0,24
55,1,10.42,0,12
56,2,10.29,0,13
57,2,8.78,0,27
58,1,10.34,0,35
59,1,11.8,0,32
60,1,13,0,27
61,1,8.25,1,20
62,1,9.63,1,22
63,1,6.47,1,11
64,1,6.03,1,21
65,2,7.59,1,32
66,1,8.76,1,17
67,1,7.1,1,20
68,2,12.7,1,2
69,2,6.71,1,22
70,1,11.03,1,9
71,1,10.66,1,2
72,2,10.75,1,7
73,1,12.44,1,17
74,2,10.36,1,14
75,1,6.59,1,14
76,2,7.22,1,9
77,1,11.32,1,19
78,2,10.78,1,14
79,1,7.72,1,15
80,2,7.39,1,12
81,2,9.51,1,13
82,1,12.31,1,18
83,2,7.99,1,9
84,1,10.5,1,17
85,1,12.54,1,27
86,2,8.78,1,25
87,1,6.59,1,7
88,1,11.89,1,9
89,1,7.79,1,14
90,2,8.78,1,23
91,1,11.18,1,8
92,2,9.62,1,20
93,2,11.65,1,17
94,1,12.65,1,22
95,2,9.39,1,30
96,1,10.74,1,23
97,2,9.66,1,25
98,2,6.39,1,35
99,2,11.63,1,11
100,1,10.14,1,12
101,1,10.04,1,19
102,2,10.5,1,2
103,1,11.36,1,4
104,2,8.01,1,13
105,1,6.88,1,19
106,1,9.67,1,19
107,1,7.12,1,20
108,1,11.78,1,2
109,1,7.12,1,21
110,2,8.83,1,12
111,2,11.87,1,6
112,1,6.26,1,15
113,1,8.02,1,20
114,2,10.81,1,20
115,2,8.07,1,5
116,1,7.71,1,7
117,1,11.07,1,27
118,2,8.79,1,22
119,1,7.71,1,23
120,1,9.11,1,4
121,2,9.71,2,21
122,1,10.18,2,27
123,2,12.44,2,4
124,2,8.89,2,31
125,1,8.51,2,8
126,2,6.25,2,24
127,1,8.55,2,17
128,1,9.28,2,19
129,1,12.52,2,24
130,2,10.47,2,19
131,1,12.57,2,18
132,2,7.87,2,12
133,2,7.14,2,18
134,2,6.67,2,13
135,1,11.33,2,7
136,2,7.12,2,12
137,1,6.65,2,10
138,2,12.72,2,9
139,2,9.97,2,16
140,1,9.37,2,18
141,2,7.62,2,24
142,1,6.39,2,6
143,2,9.13,2,2
144,2,10.92,2,22
145,1,9.11,2,20
146,1,7.46,2,10
147,1,6.83,2,21
148,1,6.58,2,33
149,1,11.2,2,14
150,1,11.35,2,14
151,2,12.52,2,23
152,1,10.36,2,12
153,1,11.34,2,14
154,2,6.51,2,18
155,1,10.25,2,14
156,2,10.35,2,17
157,2,11.19,2,22
158,1,12.35,2,16
159,2,9.91,2,12
160,1,8.77,2,11
161,2,12.41,2,15
162,2,7.72,2,11
163,2,8.05,2,12
164,2,7.72,2,14
165,1,9.66,2,10
166,1,9.27,2,11
167,2,6.78,2,21
168,2,11.71,2,10
169,2,9.02,2,25
170,1,9.02,2,21
171,1,7.27,2,30
172,2,6.9,2,25
173,2,10.24,2,23
174,1,7.91,2,25
175,2,9.75,2,27
176,2,10.42,2,13
177,1,10.45,2,29
178,2,6.19,2,17
179,1,8.28,2,29
180,1,9.65,2,9
