infantGender,infantAge,Transport,infantVocalisations
F,21.68,Buggy,3
M,36.75,Buggy,4
M,44.96,Buggy,4
M,32.46,Buggy,3
F,34,Buggy,4
F,27.55,Buggy,4
F,25.61,Buggy,4
M,39.59,Buggy,4
M,22.98,Buggy,4
F,32.34,Buggy,4
M,26.74,Buggy,5
F,40.29,Buggy,5
F,33.97,Buggy,4
F,36.34,Buggy,3
F,34.54,Buggy,3
M,32.15,Buggy,5
M,35.81,Buggy,4
F,35.17,Buggy,4
M,35.28,Backpack,4
F,36.27,Backpack,7
M,40.15,Backpack,5
F,33.27,Backpack,5
M,35.9,Backpack,5
M,36.49,Backpack,6
M,41.07,Backpack,4
M,34.88,Backpack,5
F,21.15,Backpack,5
M,36.72,Backpack,6
M,26.49,Backpack,5
M,35.82,Backpack,2
M,35.24,Backpack,7
M,33.32,Backpack,7
F,28.73,Backpack,6
M,33.51,Backpack,5
M,34.78,Backpack,4
F,27.25,Backpack,5
