infantAge,parentAge,infantGender,parentGender,buggyIVocal,backpackIVocal,buggyPVocal,backpackPVocal
35.93,33.53,M,F,1,5,4,6
40.81,34.29,F,F,1,4,6,7
42.38,34.89,M,F,5,8,9,11
35.25,32.68,F,M,4,9,8,11
39.75,34.06,F,F,5,8,10,12
37.82,27.33,M,F,3,6,9,10
38.49,33.53,F,F,3,7,9,8
54.29,32.41,M,F,3,9,8,9
27.87,30.37,M,F,4,8,8,9
25.36,36.01,M,F,2,6,8,8
35.36,31.68,F,F,4,7,10,10
36.57,19.56,F,F,6,8,9,12
36.08,28.05,F,F,1,2,5,7
25.16,36.52,F,F,1,6,9,9
48.36,34.23,F,F,3,7,8,8
42.33,26.7,M,F,3,8,6,9
43.17,24.69,M,F,1,4,7,8
38.55,37.35,F,F,3,6,7,9
33.75,28.97,M,F,1,5,7,7
44.1,29.75,F,F,3,7,6,7
28.7,26.72,F,F,3,7,8,9
37.37,34.01,F,F,3,7,8,10
32.51,23.76,M,F,4,7,7,10
24.89,22.98,M,F,3,7,8,10
30.55,34.09,F,F,3,6,9,9
41.13,33.97,F,F,3,6,7,8
31.83,23.53,F,F,2,5,6,8
34.3,28.26,F,F,1,5,6,8
31.2,35,M,F,4,8,8,9
28.6,37.55,M,F,3,8,10,11
37.31,38.9,F,F,3,8,8,10
34.82,30.88,M,F,4,8,8,10
28.93,28.15,F,F,3,7,10,11
31.69,36.06,M,F,1,6,5,7
36.86,36.77,F,F,5,8,10,11
35.35,30.98,F,F,4,7,9,9
28.24,37.45,M,F,2,6,7,8
33.02,28.42,F,F,5,8,10,10
18.89,23.01,F,F,4,9,10,12
27.98,30.42,M,F,4,7,8,10
