ID,Gender,Age,Group,Correct
1,2,12.26,Control,36
2,2,7.14,Control,20
3,2,11.64,Control,28
4,1,7.22,Control,24
5,1,12.43,Control,29
6,1,10.46,Control,26
7,1,11.16,Control,32
8,2,6.53,Control,19
9,1,8.47,Control,22
10,2,6.74,Control,23
11,2,12.28,Control,7
12,2,8.14,Control,29
13,2,7.27,Control,27
14,2,8.19,Control,28
15,2,6.21,Control,35
16,1,11.96,Control,30
17,1,7.73,Control,13
18,1,6.76,Control,17
19,2,8.15,Control,5
20,2,9.11,Control,36
21,1,7.82,Control,28
22,1,9.91,Control,18
23,1,8.46,Control,17
24,2,8.37,Control,22
25,1,7.27,Control,9
26,1,9.21,Control,23
27,1,12.52,Control,19
28,2,12.89,Control,28
29,1,12.47,Control,39
30,1,11.09,Control,33
31,1,10.65,Control,10
32,1,6.02,Control,10
33,1,12.73,Control,3
34,1,7.76,Control,27
35,2,10.86,Control,38
36,1,6.08,Control,33
37,2,7.32,Control,17
38,2,7.87,Control,33
39,1,10.27,Control,30
40,2,11.96,Control,19
41,1,8.41,Control,28
42,1,11.73,Control,8
43,1,12.62,Control,41
44,1,6.28,Control,24
45,2,10.24,Control,14
46,1,9.13,Control,10
47,1,11.26,Control,19
48,1,8.18,Control,15
49,1,8.58,Control,20
50,1,12.13,Control,27
51,1,6.57,Control,25
52,1,9.8,Control,30
53,1,12.67,Control,29
54,2,7.12,Control,24
55,1,10.42,Control,12
56,2,10.29,Control,13
57,2,8.78,Control,27
58,1,10.34,Control,35
59,1,11.8,Control,32
60,1,13,Control,27
61,1,8.25,Mouth Obstructed,20
62,1,9.63,Mouth Obstructed,22
63,1,6.47,Mouth Obstructed,11
64,1,6.03,Mouth Obstructed,21
65,2,7.59,Mouth Obstructed,32
66,1,8.76,Mouth Obstructed,17
67,1,7.1,Mouth Obstructed,20
68,2,12.7,Mouth Obstructed,2
69,2,6.71,Mouth Obstructed,22
70,1,11.03,Mouth Obstructed,9
71,1,10.66,Mouth Obstructed,2
72,2,10.75,Mouth Obstructed,7
73,1,12.44,Mouth Obstructed,17
74,2,10.36,Mouth Obstructed,14
75,1,6.59,Mouth Obstructed,14
76,2,7.22,Mouth Obstructed,9
77,1,11.32,Mouth Obstructed,19
78,2,10.78,Mouth Obstructed,14
79,1,7.72,Mouth Obstructed,15
80,2,7.39,Mouth Obstructed,12
81,2,9.51,Mouth Obstructed,13
82,1,12.31,Mouth Obstructed,18
83,2,7.99,Mouth Obstructed,9
84,1,10.5,Mouth Obstructed,17
85,1,12.54,Mouth Obstructed,27
86,2,8.78,Mouth Obstructed,25
87,1,6.59,Mouth Obstructed,7
88,1,11.89,Mouth Obstructed,9
89,1,7.79,Mouth Obstructed,14
90,2,8.78,Mouth Obstructed,23
91,1,11.18,Mouth Obstructed,8
92,2,9.62,Mouth Obstructed,20
93,2,11.65,Mouth Obstructed,17
94,1,12.65,Mouth Obstructed,22
95,2,9.39,Mouth Obstructed,30
96,1,10.74,Mouth Obstructed,23
97,2,9.66,Mouth Obstructed,25
